Nome,Plano,Preço,Data de Matrícula,Username,Role,Password
Leandro Silva,Intermediário,199.9,2023-10-18,leandro,customer,627483
Renato Souza,Intermediário,199.9,2023-03-29,renato,customer,582934
Márcia Rocha,Básico,99.9,2023-06-22,márcia,customer,453281
Luciana Rocha,Básico,99.9,2023-06-23,luciana,customer,974516
Patrícia Souza,Intermediário,199.9,2023-12-03,patrícia,customer,138492
Gabriela Santana,Básico,99.9,2023-02-28,gabriela,customer,659834
Adriana Costa,Intermediário,199.9,2023-11-14,adriana,customer,204895
Marcelo Araújo,Premium,299.9,2023-10-04,marcelo,customer,571962
Patrícia Souza,Premium,299.9,2023-07-31,patrícia,customer,716423
Ricardo Almeida,Intermediário,199.9,2023-05-04,ricardo,customer,385691
Gabriela Santana,Premium,299.9,2023-07-23,gabriela,customer,462817
Renato Souza,Intermediário,199.9,2023-06-28,renato,customer,938451
Ana Silva,Premium,299.9,2023-01-29,ana,customer,417829
Márcio Ferreira,Intermediário,199.9,2023-06-11,márcio,customer,326748
César Martins,Básico,99.9,2023-07-06,césar,customer,561829
Felipe Teixeira,Básico,99.9,2023-02-05,felipe,customer,274913
Renata Pires,Premium,299.9,2023-11-21,renata,customer,305846
Carlos Oliveira,Intermediário,199.9,2023-02-26,carlos,customer,798245
Bruna Ferreira,Intermediário,199.9,2023-10-30,bruna,customer,690182
Priscila Carvalho,Intermediário,199.9,2023-01-14,priscila,customer,781936
Carolina Barros,Intermediário,199.9,2023-11-25,carolina,customer,542198
Eduardo Cardoso,Premium,299.9,2023-01-28,eduardo,customer,784913
Thaís Brito,Premium,299.9,2023-05-10,thaís,customer,305167
Pedro Nascimento,Básico,99.9,2023-02-13,pedro,customer,718439
Carolina Barros,Básico,99.9,2023-04-21,carolina,customer,162947
Márcia Rocha,Intermediário,199.9,2023-06-14,márcia,customer,436758
Paulo Cunha,Intermediário,199.9,2023-08-15,paulo,customer,715839
Mário Monteiro,Premium,299.9,2023-12-30,mário,customer,384517
Ana Silva,Premium,299.9,2023-01-29,ana,customer,947125
Mário Monteiro,Básico,99.9,2023-01-12,mário,customer,536182
Rodrigo Castro,Intermediário,199.9,2023-12-27,rodrigo,customer,273941
Felipe Teixeira,Básico,99.9,2023-11-06,felipe,customer,894672
Tatiane Almeida,Básico,99.9,2023-10-18,tatiane,customer,153849
Felipe Teixeira,Intermediário,199.9,2023-12-02,felipe,customer,685213
Bruna Ferreira,Básico,99.9,2023-09-26,bruna,customer,732894
Renato Souza,Básico,99.9,2023-01-12,renato,customer,215789
Bruna Ferreira,Básico,99.9,2023-07-18,bruna,customer,439185
Fernanda Costa,Básico,99.9,2023-04-18,fernanda,customer,572813
Rodrigo Castro,Premium,299.9,2023-03-19,rodrigo,customer,513786
Carlos Oliveira,Intermediário,199.9,2023-06-17,carlos,customer,682371
Juliana Rezende,Premium,299.9,2023-05-15,juliana,customer,594723
Larissa Gomes,Premium,299.9,2023-10-29,larissa,customer,125879
Débora Silva,Intermediário,199.9,2023-11-17,débora,customer,341695
Evelyn Santos,Básico,99.9,2021-06-01,evelyn,Cliente,123456
Kennyson Chaves Florencio,Premium,299.9,2024-06-25,kennyson,Cliente,123456
Rafael Lima,Intermediário,199.9,2024-06-27,rafael,Cliente,abcd1234
